What is breakfast in Russian?;завтрак
What is dinner in Russian?;обед
What is the Russian word for 'bread'?;хлеб (khlyep)
What is the Russian word for 'salt'?;соль (sol’)
What is the Russian word for 'fork'?;вилка (vilka)
What is the Russian translation for 'knife'?;нож
What is the English translation for 'сыр'?;cheese
How do you pronounce 'молоко' in English?;malako
What is the Russian word for 'ice-cream'?;мороженое
How do you say 'I am hungry' in Russian?;Я проголодался
What is the Belarusian word for 'juice'?;сок
What is the Russian word for 'avenue'?;проспект
What is the Belarusian word for 'building'?;здание
What is the Ukrainian word for 'street'?;вулиця
What is the translation of 'transfer'?;переход
What is the translation of 'highway'?;шоссе
What is the translation of 'rush hours'?;часы «пик»
Is this the right way to the park?;Я правильно иду (еду) к парку?
Is it far from here?;Далеко ли это?
I’ve lost my way.;Я заблудился.
Где ближайшая станция метро?;Where is the nearest metro station?
Где сделать пересадку на …?;Where do I change for …?
Вы выходите?;Are you getting on?
How do you say 'please' in Russian?;пожалуйста
What is the Russian translation for 'It happened this morning'?;Это случилось сегодня утром
How do you ask someone to hurry in Russian?;Быстрее, пожалуйста, я опаздываю
What is the Russian translation for 'recreation'?;отдых
How do you say 'cinema' in Russian?;кинотеатр
What is the translation of 'hunting' in Russian?;охота
Is there a swimming pool in the city?;В городе есть бассейн для плавания?
Which skating-ring is the best in your city?;Какой каток в этом городе считается лучшим?
I swim all the year round.;Я плаваю круглый год
What’s the charge per hour?;Сколько это стоит в час?
Where are the tennis courts?;Где теннисные корты?
Do you play …? chess draughts billiards;Вы играете …? в шахматы в шашки в биллиард
Where can I go to rest today?;Куда можно пойти отдохнуть сегодня?
Where is the recreation zone?;Где зона отдыха?
Where can we go dancing?;Где можно потанцевать?
May I invite you to dance?;Разрешите пригласить вас на танец?
Thanks. I don’t feel like dancing.;Спасибо. Я не танцую.
What is the Russian word for 'cashier'?;кассир
What is the translation of 'food shop'?;продовольственный магазин
What is the translation of 'market'?;рынок, базар
What is the translation of 'shop assistant'?;продавец
What is the Russian translation for 'shop window'?;витрина
What is the Ukrainian translation for 'entrance'?;вхід
What is the English translation for 'закрыто'?;closed
What is the Russian translation for 'pull'?;к себе
What is the English translation for 'сыр'?;cheese
What is the transcription for 'ягоды'?;yagadi
Where’s the nearest shop?;Где ближайший магазин?
Where do I have to pay?;Где платить?
How much does it cost?;Сколько стоит?
